symbol,date,gain_pct,days_up,volume,trades,pnl,win,loss
MNOV,2020-07-27,66.51515151515153,1,405585,1,-4035.9488400000005,0,1
SYPR,2020-07-28,51.4018691588785,1,64229,0,0.0,0,1
KODK,2020-07-29,77.9742765273312,1,2212407,1,-736.8197883813027,0,1
KNDI,2020-07-29,138.97435897435898,1,107441,0,0.0,0,1
PRPO,2020-07-30,35.10638297872342,2,328817,0,0.0,0,1
TAOP,2020-07-30,141.37447405329593,1,1057688,1,-736.796778582152,0,1
JMIA,2020-08-03,35.244845360824726,5,561869,0,0.0,0,1
PBI,2020-08-03,40.028490028490026,4,650336,0,0.0,0,1
IZEA,2020-08-05,33.33333333333335,1,151005,0,0.0,0,1
OPTT,2020-08-12,35.47008547008548,1,63987,0,0.0,0,1
IGC,2020-08-12,165.5593150825387,1,1096582,1,5297.12841,1,0
AHG,2020-08-13,173.59781121751024,1,110344,0,0.0,0,1
ERNA,2020-08-13,40.338983050847446,2,595247,1,2793.797999999995,1,0
TOPS,2020-08-20,59.06976744186048,1,140807,0,0.0,0,1
GEVO,2020-08-20,87.64821115578927,2,4589348,1,695.4518999999982,1,0
PED,2020-08-27,51.898734177215175,1,319717,1,24.98726999999557,1,0
GOGO,2020-09-02,36.86868686868687,3,1128766,0,0.0,0,1
NEXT,2020-09-14,48.75000000000001,1,83749,0,0.0,0,1
CRDF,2020-09-17,32.35772357723577,1,548653,0,0.0,0,1
OXBR,2020-09-28,87.13826366559488,1,558464,1,12229.676899999997,1,0
AMBO,2020-09-28,44.04332129963899,1,120317,0,0.0,0,1
ADIL,2020-09-29,67.03296703296704,2,164303,0,0.0,0,1
WWR,2020-10-02,62.962962962962976,1,2568618,0,0.0,0,1
WWR,2020-10-05,72.9166666666667,2,2869233,1,4116.765944999998,1,0
PPSI,2020-10-06,43.843843843843835,2,928540,1,7056.716874999997,1,0
OPTT,2020-10-06,48.979591836734706,3,195599,1,989.8477275,1,0
ELSE,2020-10-06,130.0813008130081,1,102080,0,0.0,0,1
CVV,2020-10-07,81.9620253164557,1,213107,0,0.0,0,1
IH,2020-10-09,31.00081366965015,1,58584,0,0.0,0,1
WAFU,2020-10-12,98.55491329479769,1,83517,0,0.0,0,1
REPL,2020-10-14,43.753723932472674,1,474175,0,0.0,0,1
MDRR,2020-10-14,40.19607843137254,1,442654,1,9346.519299999998,1,0
KXIN,2020-10-14,169.01408450704224,1,90199,0,0.0,0,1
KXIN,2020-10-16,38.17034700315458,3,203907,1,10702.644849999993,1,0
AIHS,2020-10-19,49.36440677966101,1,53078,0,0.0,0,1
KXIN,2020-10-19,145.96651445966512,4,1406668,1,4663.913124999994,1,0
MATH,2020-10-19,43.0232558139535,1,54810,0,0.0,0,1
MATH,2020-10-20,71.72897196261681,2,59787,0,0.0,0,1
TC,2020-10-22,40.191387559808625,2,67527,1,7221.586539999995,1,0
MAX,2020-10-28,44.4343480236256,1,231473,0,0.0,0,1
POLA,2020-10-29,41.73076923076924,1,1099825,0,0.0,0,1
MARPS,2020-10-30,36.58536585365852,1,72566,1,-225.36937999999978,0,1
APVO,2020-11-03,40.601503759398504,1,567930,0,0.0,0,1
APVO,2020-11-04,66.9,2,709301,0,0.0,0,1
APVO,2020-11-05,43.43707713125846,3,585816,0,0.0,0,1
AHT,2020-11-09,160.55555555555557,1,452419,0,0.0,0,1
GTEC,2020-11-10,50.733137829912,1,816990,1,2627.2047999999986,1,0
EQ,2020-11-11,38.21138211382114,1,470647,0,0.0,0,1
CBAT,2020-11-16,41.28787878787878,3,578610,0,0.0,0,1
SBLX,2020-11-19,38.51351351351351,2,234198,0,0.0,0,1
KXIN,2020-11-20,64.78679504814306,1,334340,1,2274.8605999999963,1,0
TANH,2020-11-23,48.251748251748275,1,254832,0,0.0,0,1
FTEK,2020-11-23,74.84276729559747,4,162105,1,3811.8912,1,0
GSM,2020-11-23,35.26570048309179,4,55890,0,0.0,0,1
GEVO,2020-11-23,49.29577464788735,1,177072,0,0.0,0,1
FCEL,2020-11-23,38.49270664505673,4,1666497,0,0.0,0,1
YJ,2020-11-24,61.8867924528302,3,549166,1,667.0543949999955,1,0
NVVE,2020-11-25,48.2816149482816,1,265675,0,0.0,0,1
TWAV,2020-11-30,134.79262672811058,4,67476,0,0.0,0,1
CAAS,2020-11-30,39.49129852744311,1,145324,0,0.0,0,1
YALA,2020-11-30,38.336347197106704,1,102031,0,0.0,0,1
LXRX,2020-12-08,31.48936170212764,3,1254324,1,2035.341599999994,1,0
GOVX,2020-12-09,85.62300319488818,1,188219,0,0.0,0,1
SLS,2020-12-10,87.83930510314875,3,1183461,0,0.0,0,1
NVNO,2020-12-11,30.415263748597066,1,72875,0,0.0,0,1
BCDA,2020-12-15,31.881188118811888,2,189821,0,0.0,0,1
DWTX,2020-12-17,34.28571428571428,1,244780,0,0.0,0,1
MVIS,2020-12-22,41.28440366972477,2,1287049,0,0.0,0,1
AQMS,2020-12-22,35.24590163934427,1,202782,0,0.0,0,1
BGMS,2020-12-23,35.84,4,89800,0,0.0,0,1
SPRU,2020-12-23,64.44444444444446,1,425115,1,2088.5717474999947,1,0
JAGX,2020-12-23,47.42873113471211,3,1192380,0,0.0,0,1
FRSX,2020-12-23,35.54502369668246,4,995127,0,0.0,0,1
BWEN,2020-12-28,40.645161290322584,1,132669,0,0.0,0,1
MPU,2020-12-28,126.30272952853599,2,428522,1,24.967999999995527,1,0
BTBT,2020-12-28,56.128550074738406,1,211041,0,0.0,0,1
EQ,2020-12-29,40.90909090909089,1,88312,0,0.0,0,1
BNGO,2020-12-29,40.044224491944824,2,1556215,0,0.0,0,1
IPDN,2020-12-30,37.434554973821996,2,252549,1,3938.5494399999966,1,0
FGNX,2020-12-30,30.245231607629442,1,65336,0,0.0,0,1
MPU,2020-12-31,40.234375,1,244037,0,0.0,0,1
BTBT,2020-12-31,54.320113314447596,4,346971,0,0.0,0,1
MBAI,2021-01-04,99.3907504846303,4,1140849,1,2577.1706999999997,1,0
JAGX,2021-01-04,97.80219780219781,4,1011346,0,0.0,0,1
BNGO,2021-01-04,35.68702290076335,5,3013885,0,0.0,0,1
NCTY,2021-01-05,35.07109004739337,2,146269,0,0.0,0,1
NCTY,2021-01-06,52.53886010362694,3,278586,0,0.0,0,1
FTFT,2021-01-07,146.78111587982832,1,1682985,1,1450.1742499999943,1,0
DDD,2021-01-07,70.66914498141263,3,3398220,0,0.0,0,1
LMFA,2021-01-08,151.19047619047618,1,520385,0,0.0,0,1
SIFY,2021-01-11,72.12121212121212,3,87392,1,2150.3219999999974,1,0
LCID,2021-01-11,30.94170403587444,1,2409702,0,0.0,0,1
CRVO,2021-01-11,31.99794555726758,1,55844,0,0.0,0,1
GME,2021-01-13,55.53914327917282,1,2523582,0,0.0,0,1
SAVA,2021-01-13,37.214885954381735,1,171987,0,0.0,0,1
FRSX,2021-01-13,49.88913525498893,1,490919,0,0.0,0,1
CRNT,2021-01-15,58.68852459016394,1,621280,1,4986.905279999997,1,0
WWR,2021-01-19,36.5234375,1,269466,0,0.0,0,1
AIRG,2021-01-19,31.180625630676072,1,50567,0,0.0,0,1
SENS,2021-01-19,77.56410256410255,1,2576260,1,2823.7862999999993,1,0
NDRA,2021-01-19,33.07086614173227,2,138817,0,0.0,0,1
COCP,2021-01-19,35.49382716049381,1,116865,0,0.0,0,1
ACRS,2021-01-19,32.97796730632552,1,1601750,1,-99.33125000000786,0,1
DARE,2021-01-19,63.194444444444464,1,135571,0,0.0,0,1
INUV,2021-01-19,51.04166666666667,1,666064,0,0.0,0,1
PAYO,2021-01-20,30.48838311996207,1,289418,0,0.0,0,1
TLSA,2021-01-20,33.47578347578348,2,169108,1,2147.2646099999965,1,0
EXPR,2021-01-22,54.50643776824033,1,305774,0,0.0,0,1
OPTT,2021-01-22,35.76642335766422,4,339334,0,0.0,0,1
POLA,2021-01-22,33.673469387755084,2,145357,0,0.0,0,1
ANY,2021-01-25,43.29896907216495,1,157866,0,0.0,0,1
IZEA,2021-01-25,35.13513513513513,3,209960,0,0.0,0,1
LFMD,2021-01-26,34.94704992435702,5,51270,0,0.0,0,1
TRVG,2021-01-27,49.52830188679245,1,1157078,0,0.0,0,1
JILL,2021-01-27,33.057851239669425,1,101365,0,0.0,0,1
CENN,2021-01-27,287.2340425531915,1,3596685,1,24.98705999999637,1,0
TOON,2021-01-27,83.74233128834359,1,714267,0,0.0,0,1
BBW,2021-01-27,42.52631578947368,1,185186,0,0.0,0,1
NOK,2021-01-27,32.66331658291457,1,16832940,0,0.0,0,1
CVM,2021-01-27,88.34160170092133,1,324468,0,0.0,0,1
PED,2021-01-28,89.51048951048952,1,116189,0,0.0,0,1
NEGG,2021-01-28,41.7434443656981,3,359107,1,-3515.484559999999,0,1
USEG,2021-01-28,50.458715596330265,1,94183,0,0.0,0,1
GSM,2021-02-01,32.36714975845412,1,427862,1,5238.438579999998,1,0
VXRT,2021-02-02,36.390186915887845,3,492981,0,0.0,0,1
OCGN,2021-02-02,59.13461538461537,1,2495446,1,4310.203589999999,1,0
SLS,2021-02-02,30.76923076923077,1,76072,0,0.0,0,1
SOGP,2021-02-03,31.726283048211524,3,212521,0,0.0,0,1
CLNN,2021-02-03,64.366373902133,1,52202,0,0.0,0,1
CPSH,2021-02-03,86.22047244094486,1,378521,0,0.0,0,1
BDRX,2021-02-04,39.62962962962961,2,74008,0,0.0,0,1
SOGP,2021-02-04,31.805682859761685,4,303702,0,0.0,0,1
SINT,2021-02-04,32.90816326530612,1,174857,0,0.0,0,1
CNSP,2021-02-04,57.009345794392516,1,64356,0,0.0,0,1
AACG,2021-02-04,280.5479452054795,1,1090718,0,0.0,0,1
WAFU,2021-02-04,32.8125,5,63895,0,0.0,0,1
AAME,2021-02-05,38.50415512465375,2,844572,1,6212.916687499995,1,0
OCGN,2021-02-05,53.81231671554252,1,2263225,0,0.0,0,1
OGI,2021-02-08,32.66129032258065,1,318977,0,0.0,0,1
OCGN,2021-02-08,70.68965517241381,2,3866809,1,3295.83032,1,0
NAUT,2021-02-08,62.76165993389644,2,339070,0,0.0,0,1
SGLY,2021-02-08,50.688705234159784,1,171889,0,0.0,0,1
DCOY,2021-02-08,34.04907975460123,3,139063,0,0.0,0,1
EFOI,2021-02-09,39.5303326810176,1,147711,0,0.0,0,1
ADAG,2021-02-09,43.37408312958435,1,194062,0,0.0,0,1
ORIO,2021-02-09,32.88804071246818,5,157482,0,0.0,0,1
SINT,2021-02-09,31.304347826086975,2,86749,0,0.0,0,1
CMMB,2021-02-10,158.95765472312706,1,190799,0,0.0,0,1
SNDL,2021-02-10,33.18181818181818,3,13077016,0,0.0,0,1
RKDA,2021-02-10,36.60933660933659,3,150499,0,0.0,0,1
LDI,2021-02-11,46.01927882898964,1,156891,0,0.0,0,1
HYLN,2021-02-11,30.895334174022704,1,746458,0,0.0,0,1
XTIA,2021-02-11,36.011904761904766,1,921470,0,0.0,0,1
SOS,2021-02-11,49.642857142857146,1,658116,0,0.0,0,1
TOPS,2021-02-12,41.24513618677044,2,250663,0,0.0,0,1
PRTA,2021-02-12,35.384615384615394,1,65393,0,0.0,0,1
SOS,2021-02-12,35.49270072992699,2,800682,0,0.0,0,1
SHIP,2021-02-12,34.228187919463096,1,917069,0,0.0,0,1
PXS,2021-02-16,74.7058823529412,2,304604,1,5679.55815,1,0
SCKT,2021-02-16,104.296875,2,2319343,1,4606.635874999997,1,0
XTKG,2021-02-17,47.46543778801844,1,68861,0,0.0,0,1
CNET,2021-02-17,34.36123348017621,1,267155,0,0.0,0,1
JFU,2021-02-18,37.830687830687836,1,490730,0,0.0,0,1
UAMY,2021-02-19,33.443708609271525,1,337166,1,3527.3991374999973,1,0
MATH,2021-02-19,30.526315789473692,1,56768,0,0.0,0,1
TAOP,2021-02-22,59.620991253644306,1,1161474,0,0.0,0,1
PAVM,2021-02-22,38.5,1,130193,0,0.0,0,1
ZKIN,2021-02-22,30.229591836734706,4,60869,0,0.0,0,1
SLDB,2021-02-23,44.49404761904763,1,86263,0,0.0,0,1
NAGE,2021-02-25,82.65107212475633,1,1458236,0,0.0,0,1
XTNT,2021-02-26,113.36633663366334,1,455791,1,490.35439999999716,1,0
SLE,2021-03-04,43.82113821138211,1,1837798,0,0.0,0,1
VANI,2021-03-05,152.63157894736844,1,7924238,1,3162.4169399999973,1,0
EXPR,2021-03-08,59.36254980079683,1,489853,0,0.0,0,1
MYND,2021-03-11,30.263157894736857,3,84603,0,0.0,0,1
FINV,2021-03-11,62.292358803986716,1,1538300,0,0.0,0,1
MI,2021-03-15,101.47058823529412,3,78115,0,0.0,0,1
NTRP,2021-03-15,54.04858299595141,1,2454564,1,2815.2638799999954,1,0
OCG,2021-03-15,98.48156182212581,3,168427,0,0.0,0,1
JILL,2021-03-16,39.67391304347827,4,77243,1,3732.9244199999976,1,0
SOGP,2021-03-16,31.46718146718146,1,517346,0,0.0,0,1
MI,2021-03-17,308.2397003745319,1,627029,1,-7763.134555000002,0,1
IMTE,2021-03-17,78.78787878787878,1,345382,0,0.0,0,1
OCG,2021-03-17,96.81647940074907,1,470669,1,24.986399999992784,1,0
JFIN,2021-03-18,73.43173431734317,2,1854907,1,-736.8332107641378,0,1
JFIN,2021-03-22,85.8974358974359,1,849571,1,-2589.663175000002,0,1
MI,2021-03-22,83.39167639050953,2,613582,1,2132.268969999994,1,0
BNTC,2021-03-23,35.976505139500745,1,1000061,0,0.0,0,1
DLPN,2021-03-23,68.80222841225627,1,3081279,0,0.0,0,1
WKEY,2021-03-24,93.11969839773798,1,938816,0,0.0,0,1
KOSS,2021-03-25,59.94978028876334,1,168187,1,3772.6695049999985,1,0
PRQR,2021-03-25,58.762886597938135,1,1398205,1,1235.776059999998,1,0
POLA,2021-03-25,31.77470775770457,1,65057,0,0.0,0,1
DSGN,2021-03-26,57.93528505392911,1,141753,0,0.0,0,1
IMA,2021-03-26,40.64430714916152,1,150281,0,0.0,0,1
WAFU,2021-03-26,48.8262910798122,1,1347883,1,6201.0125549999975,1,0
VVPR,2021-03-30,32.99748110831233,1,65210,0,0.0,0,1
WAFU,2021-03-31,45.91121495327102,1,977812,1,2079.8780999999976,1,0
MPU,2021-04-01,130.8433734939759,1,1145560,1,-846.2650800000049,0,1
UXIN,2021-04-01,51.526717557251914,3,3156838,0,0.0,0,1
SKLZ,2021-04-21,33.04209690230342,1,1343367,0,0.0,0,1
OCGN,2021-04-22,37.946428571428584,1,682194,0,0.0,0,1
ERNA,2021-04-22,33.72717508055851,1,77977,0,0.0,0,1
UXIN,2021-04-23,53.98550724637683,1,722525,0,0.0,0,1
MI,2021-04-23,30.30060120240481,4,159095,0,0.0,0,1
RAIL,2021-04-23,30.078125,1,143214,0,0.0,0,1
RVPH,2021-04-26,74.1935483870968,1,290420,1,24.98061999999645,1,0
MVIS,2021-04-26,32.61523046092183,2,1811268,0,0.0,0,1
VXRT,2021-04-27,34.083601286173625,2,1715562,0,0.0,0,1
ERNA,2021-04-27,58.674775928297066,4,115500,0,0.0,0,1
UXIN,2021-04-28,52.87958115183247,1,972957,0,0.0,0,1
ERNA,2021-04-28,89.13997367266344,5,422083,0,0.0,0,1
ERNA,2021-04-30,58.981794747865315,1,306805,1,24.976379999999793,1,0
PRPO,2021-05-03,158.94736842105263,1,2184545,1,417.6388349999988,1,0
BRN,2021-05-03,42.05607476635513,1,100677,0,0.0,0,1
LEDS,2021-05-04,60.94594594594594,1,185880,0,0.0,0,1
COCP,2021-05-04,30.182926829268286,1,2309934,1,205.9557499999904,1,0
AMS,2021-05-05,31.716417910447745,1,88789,0,0.0,0,1
LEDS,2021-05-06,90.70631970260223,3,2067124,1,6664.835564999994,1,0
IHT,2021-05-10,74.78753541076489,1,181650,0,0.0,0,1
JMIA,2021-05-11,39.13163716814161,1,392540,0,0.0,0,1
IHT,2021-05-11,39.13043478260872,2,172702,0,0.0,0,1
PRSO,2021-05-14,49.066213921901536,1,126045,1,3541.535944999997,1,0
TRAW,2021-05-18,35.821274435135834,3,316971,0,0.0,0,1
PRSO,2021-05-19,33.17073170731708,1,120419,0,0.0,0,1
UONE,2021-05-20,54.69255663430421,2,786937,0,0.0,0,1
PVLA,2021-05-25,64.15929203539825,1,1383421,0,0.0,0,1
ABTS,2021-05-25,35.34743202416919,1,99458,0,0.0,0,1
SOGP,2021-05-26,56.192660550458704,1,224264,0,0.0,0,1
AMC,2021-05-27,43.58561460010737,4,6580194,0,0.0,0,1
EXPR,2021-06-02,31.313131313131315,2,921222,0,0.0,0,1
KOSS,2021-06-02,52.97439759036146,1,250418,0,0.0,0,1
EFOI,2021-06-03,39.618138424820984,1,148111,1,24.984299999996757,1,0
AMSC,2021-06-04,31.780616078136738,1,109539,0,0.0,0,1
CLOV,2021-06-08,33.051614850588585,2,11318349,1,4993.999359999998,1,0
IHT,2021-06-08,34.4626168224299,1,156234,0,0.0,0,1
DMRA,2021-06-10,63.02186878727631,1,201015,0,0.0,0,1
ALF,2021-06-15,32.692307692307686,3,676258,1,2155.7172999999957,1,0
ALF,2021-06-18,33.719008264462815,1,179452,0,0.0,0,1
ALF,2021-06-22,71.87171398527865,1,638317,1,857.1617000000009,1,0
XTKG,2021-06-29,88.07947019867548,1,180122,0,0.0,0,1
DDL,2021-06-30,43.459022701038855,1,55811,1,1433.590270000001,1,0
BLIN,2021-07-02,44.032258064516114,1,302908,1,1952.8369199999918,1,0
XTKG,2021-07-06,62.70270270270268,1,259059,0,0.0,0,1
NEGG,2021-07-06,36.61616161616161,5,53795,0,0.0,0,1
IPW,2021-07-07,36.29893238434163,1,50625,0,0.0,0,1
LMFA,2021-07-08,46.61458333333333,1,436574,0,0.0,0,1
MDIA,2021-07-12,247.57085020242914,2,284060,1,24.983009999998043,1,0
WORX,2021-07-12,52.312138728323696,1,131720,0,0.0,0,1
RNAZ,2021-07-12,31.8840579710145,1,53453,0,0.0,0,1
RCAT,2021-07-13,58.862876254180584,1,164172,1,24.98693999999859,1,0
RCAT,2021-07-16,45.70552147239264,4,77139,0,0.0,0,1
AEHR,2021-07-19,31.300813008130078,2,542816,0,0.0,0,1
AEMD,2021-07-19,31.333333333333325,1,172609,0,0.0,0,1
LXU,2021-07-20,45.83333333333335,1,87218,0,0.0,0,1
HYFT,2021-07-22,95.69093610698364,1,478342,1,1683.8022749999998,1,0
NRXP,2021-07-22,40.95972579263068,2,686232,1,762.8973449999979,1,0
FEED,2021-07-23,254.98903508771926,1,307265,0,0.0,0,1
NRXP,2021-07-23,30.41749502982105,3,577207,0,0.0,0,1
NCTY,2021-07-26,39.4572025052192,1,225854,0,0.0,0,1
BTBT,2021-07-26,79.67479674796746,1,1336280,0,0.0,0,1
INTZ,2021-07-27,39.4808743169399,1,575860,0,0.0,0,1
ZSTK,2021-07-28,57.784145176695304,1,481812,0,0.0,0,1
XBIO,2021-07-29,74.83443708609272,3,181646,0,0.0,0,1
ZSTK,2021-08-03,63.11053984575834,3,347989,0,0.0,0,1
FULC,2021-08-10,42.56371243818941,5,1532469,1,705.3153799999969,1,0
MPU,2021-08-11,32.31739358906989,1,51301,1,5568.681499999999,1,0
PMCB,2021-08-13,35.3813559322034,1,87573,0,0.0,0,1
ZSTK,2021-08-13,33.67029548989115,1,205048,0,0.0,0,1
PMCB,2021-08-18,53.134796238244505,2,538369,1,5460.153824999996,1,0
TROO,2021-08-18,65.89861751152075,1,381800,1,2619.5837699999975,1,0
MI,2021-08-25,60.26587887740029,2,561188,1,3458.119424999999,1,0
ATER,2021-08-27,47.93187347931873,1,315327,0,0.0,0,1
BBIG,2021-08-27,48.86685552407932,4,1123230,0,0.0,0,1
RNXT,2021-08-30,119.94497936726276,1,107336,0,0.0,0,1
FCUV,2021-09-01,206.04395604395606,1,243745,1,2137.290929999997,1,0
SLAI,2021-09-02,30.206185567010337,1,273502,0,0.0,0,1
IPHA,2021-09-03,35.8744394618834,1,237542,0,0.0,0,1
ATYR,2021-09-13,45.0793650793651,1,1149470,0,0.0,0,1
LIFE,2021-09-13,45.0793650793651,1,1149470,0,0.0,0,1
LIDR,2021-09-16,35.00697350069735,1,153402,0,0.0,0,1
CRVS,2021-09-17,40.897097625329806,1,1757109,0,0.0,0,1
CRVS,2021-09-21,56.95732838589984,3,544150,0,0.0,0,1
ZSTK,2021-09-24,35.098039215686285,1,163768,0,0.0,0,1
IPM,2021-09-29,52.48618784530385,5,516876,1,996.7880699999964,1,0
ALZN,2021-09-30,33.624454148471614,1,629036,1,2958.707314999998,1,0
PED,2021-10-01,31.410256410256387,1,335633,0,0.0,0,1
VYGR,2021-10-08,47.21485411140583,1,234830,0,0.0,0,1
GWH,2021-10-12,47.398119122257064,3,336221,1,1735.9078499999969,1,0
JSPR,2021-10-13,71.1825487944891,1,208805,1,961.9547999999982,1,0
AHG,2021-10-19,50.94936708860758,4,66190,0,0.0,0,1
AHG,2021-10-20,85.41048466864494,5,284221,0,0.0,0,1
OLOX,2021-10-22,39.69230769230769,1,113548,0,0.0,0,1
BKKT,2021-10-27,39.05437352245864,1,595073,0,0.0,0,1
CHAI,2021-10-27,81.01694915254237,1,1689900,1,4168.094709999998,1,0
BKKT,2021-10-29,62.97431966270604,1,912744,0,0.0,0,1
GREE,2021-10-29,30.79518072289158,1,148721,0,0.0,0,1
SDOT,2021-11-01,39.99999999999999,1,436526,0,0.0,0,1
BIRD,2021-11-03,35.47479484173506,1,824537,0,0.0,0,1
PETZ,2021-11-03,30.05464480874316,1,93079,0,0.0,0,1
PPSI,2021-11-08,72.45409015025042,1,971352,1,3564.535319999998,1,0
NEGG,2021-11-08,58.600337268128165,1,169798,0,0.0,0,1
CBAT,2021-11-08,41.77777777777778,1,177319,0,0.0,0,1
PETZ,2021-11-08,66.12466124661248,4,150779,0,0.0,0,1
WNW,2021-11-12,35.31157270029672,1,117522,0,0.0,0,1
IONQ,2021-11-16,34.26537874936451,1,215245,0,0.0,0,1
SEV,2021-11-17,88.88613247333168,1,592458,1,1525.2380699999974,1,0
INM,2021-11-17,31.756756756756754,1,469196,1,2896.1499000000003,1,0
GTEC,2021-11-22,47.88273615635179,2,171568,0,0.0,0,1
